Cotton_Type,Spindle_Speed_RPM,Draft_Ratio,Twist_per_Inch,Traveler_Weight_mg,Roller_Pressure_N,Room_Temperature_C,Humidity_RH,Yarn_Quality_Rating
Combed,13745.401188473625,49.01428612819832,21.515921243548267,159.86584841970367,131.2037280884873,26.559945203362027,56.16167224336399,55.93
Combed,17080.725777960455,30.411689885916047,24.608828078105926,183.24426408004217,142.46782213565524,26.818249672071005,58.66809019706868,54.83
Combed,13042.422429595377,40.49512863264476,17.615285242347504,129.1229140198042,222.37057894447588,26.39493860652042,60.84289297070436,66.31
Organic,17851.759613930135,33.993475643167194,18.685047699376952,159.24145688620425,109.29008254399955,31.075448519014383,58.41048247374583,40.23
Organic,10650.515929852794,48.977710745066666,24.55321642996927,180.8397348116461,160.92275383467415,25.976721140063837,68.68466053024314,37.96
Combed,14951.769101112703,30.687770422304368,23.821165227024167,125.8779981600017,232.5044568707964,28.11711076089411,65.40136042355621,65.76
Carded,15467.102793432798,33.69708911051054,24.604600160939263,177.51328233611144,287.8997883128378,33.948273504276486,66.95799957622171,33.11
Carded,12713.490317738959,46.57475018303859,16.63779324701666,128.09345096873807,208.5392166316497,26.409242249747628,71.0439396150808,43.89
Organic,10745.506436797708,49.73773873201034,22.03918200085655,119.87156815341724,101.10442342472048,33.154614284548344,69.13714687695234,35.0
Combed,10740.446517340904,37.169314570885454,13.506297773826686,186.31034258755935,224.6596253655116,28.308980248526492,56.27116700572047,57.35
Carded,13109.823217156621,36.50366644053494,21.484880318394833,163.75574713552132,277.44254851526534,29.72214925161949,57.39188491876603,43.83
Organic,15612.771975694963,45.41934359909122,18.41934275273708,152.2732829381994,185.5082036717099,25.25419126744095,57.15782853986609,54.66
Combed,10314.291856867343,42.72820822527561,16.086627753992246,150.85706911647029,281.5132947852186,27.49292229148875,63.207658460712594,58.87
Combed,10769.79909828793,35.79502905827536,14.095876734302058,192.9697652342573,261.6240759128834,31.334037565104236,72.42921180375436,50.55
